Stations_id,von_datum,bis_datum,geoCoords,AMR_Key,Stationsname,AMR_Kreis
3867,19500101,19561231,"(53.0643, 7.4814)",3403,Papenburg,Oldenburg(o.)
3875,19500101,20221030,"(49.151, 11.6896)",9162,Parsberg/Oberpfalz-Eglwang,Munchen
3883,19700301,19980131,"(50.5999, 11.9966)",16051,Pausa-Unterreichenau,Erfurt
3904,19650101,20221030,"(49.5354, 6.3789)",10041,Perl-Nennig,Saarbrucken
3905,19900829,20221030,"(49.5214, 6.4476)",10041,Perl-Sinz-Renglischberg,Saarbrucken
3921,19740601,19960430,"(49.85, 7.6)",6412,Pferdsfeld,Frankfurt a.m.
3922,19751101,20010630,"(49.1162, 10.8598)",9564,Pfofeld-Langlau,Nurnberg
3925,19890406,20221030,"(48.9329, 8.6973)",8111,Pforzheim-Ispringen,Stuttgart
3927,19580101,20221030,"(47.9345, 9.2869)",8421,Pfullendorf,Ulm
3939,19500101,20221030,"(49.1912, 7.5879)",10041,Pirmasens,Saarbrucken
3954,19700701,19960930,"(54.1603, 10.4345)",2000,Pl�n_(Max-Planck-Institut),Hamburg
3955,19500101,19970131,"(54.159, 10.402)",2000,Pl�n_(See),Hamburg
4036,19530601,20221030,"(51.3895, 11.5412)",14713,Querfurt-M�hle_Lodersleben,Leipzig
4039,19741201,20221030,"(53.7331, 9.8776)",2000,Quickborn,Hamburg
4053,19530101,19961231,"(47.7458, 9.0007)",8335,Radolfzell-Markelfingen,Konstanz
4066,19861101,19990131,"(47.9091, 11.1048)",9162,Raisting,Munchen
4091,19620701,19980630,"(47.7327, 12.6827)",9162,Rauschberg_bei_Ruhpolding,Munchen
4100,19540101,19731231,"(51.6243, 7.182)",5113,Recklinghausen,Dusseldorf-ruhr
4127,19911001,20221030,"(50.9906, 7.6958)",5970,Reichshof-Eckenhagen,Siegen
4152,19710101,19771231,"(47.6783, 8.1527)",8336,Remetschwiel,Lorrach
4156,19731001,19980228,"(54.2878, 9.6749)",2000,Rendsburg,Hamburg
4157,19850601,20031130,"(50.5052, 7.4881)",7111,Rengsdorf_(Kurort),Koblenz
4160,19701222,20221030,"(48.7425, 8.924)",8111,Renningen-Ihinger_Hof,Stuttgart
4166,19880501,20021231,"(48.5051, 9.1833)",8111,Reutlingen-Betzingen,Stuttgart
4169,19580101,20221030,"(48.6703, 7.9939)",8212,Rheinau-Memprechtshofen,Karlsruhe
4174,19710101,20171220,"(52.2887, 7.3866)",5515,Rheine-Bentlage,Munster
4175,19530901,20221030,"(47.559, 7.7721)",8336,Rheinfelden,Lorrach
4222,19630101,20060131,"(50.5263, 12.4091)",16051,Rodewisch,Erfurt
4225,19790601,20190412,"(49.2195, 12.536)",9362,Roding-Wetterfeld,Regensburg
4261,19500101,20221030,"(47.8753, 12.128)",9162,Rosenheim,Munchen
4279,19890418,20221030,"(50.3046, 6.3862)",7211,Roth_bei_Pr�m,Trier
4280,19710101,20221030,"(49.2162, 11.1035)",9564,Roth,Nurnberg
4293,19580101,20051130,"(47.6819, 11.7714)",9162,Rottach-Egern,Munchen
4294,19790701,20021031,"(48.4704, 8.9687)",8111,Rottenburg-Kiebingen,Stuttgart
4300,19570201,20221030,"(48.1815, 8.6356)",8326,Rottweil,Villingen-schwenningen
